Id,TagName,Count,ExcerptPostId,WikiPostId,RowNum
"1",".net","286291","3624959","3607476","1"
"2","html","842156","3673183","3673182","2"
"3","javascript","1856235","3624960","3607052","3"
"4","css","598467","3644670","3644669","4"
"5","php","1301091","3624936","3607050","5"
"8","c","308601","3624961","3607013","6"
"9","c#","1336521","3624962","3607007","7"
"10","c++","629493","3624963","3606997","8"
"12","ruby","206661","3624964","3607043","9"
"14","lisp","5835","3656743","3656742","10"
"16","python","1228872","3624965","3607014","11"
"17","java","1577864","3624966","3607018","12"
"18","regex","212160","3624967","3607017","13"
"19","xml","185638","3624968","3607588","14"
"21","mysql","569243","3624969","3607033","15"
"22","sql","503327","3625226","3607304","16"
"23","tsql","58534","4777787","4777786","17"
"26","j#","62","8355939","8355938","18"
"27","browser","22355","5388160","5388159","19"
"28","linq","75187","4890031","4890030","20"
"30","database","158262","4973766","4973765","21"
"33","language-agnostic","7909","5197182","5197181","22"
"34","unix","41573","4957075","4957074","23"
"35","sockets","56262","5253586","5253585","24"
"38","apache-flex","24279","3625227","3608598","25"
"41","vb.net","125659","3625228","3607042","26"
"44","structuremap","1708","5007962","5007961","27"
"46","alt.net","9","25220551","25220550","28"
"48","architecture","14045","4083816","4083815","29"
"49","forms","97045","5602245","5602244","30"
"52","aptana","1787","5726271","5726270","31"
"53","eclipse","117405","3625229","3607482","32"
"55","subclipse","693","5488734","5488733","33"
"57","air","7788","4913302","4913301","34"
"58","linux","178683","3625112","3607012","35"
"61","memory","29033","5009628","5009627","36"
"63","svn","25947","3696944","3696943","37"
"64","windows","132172","3625230","3609881","38"
"65","sitemap","1865","5146483","5146482","39"
"66","navigation","10864","9678906","9678905","40"
"67","membership","914","9956567","9956566","41"
"71","theory","1612","18267058","18267057","42"
"72","sql-server","266435","3625231","3607030","43"
"73","csv","63274","4913959","4913958","44"
"75","sysadmin","501","8582713","8582712","45"
"76","compression","7603","6110824","6110823","46"
"80","apache","84819","4979625","4979624","47"
"81","versioning","2622","6352292","6352291","48"
"82","media","2980","12858677","12858676","49"
"83","embed","3905","7538285","7538284","50"
"87","printing","19157","6077509","6077508","51"
"88","youtube","13692","5304815","5304814","52"
"90","pdf","40011","4541006","4541005","53"
"95","convention","367","22836385","22836384","54"
"96","asp.net","348540","3625232","3607037","55"
"97","migration","8147","7982742","7982741","56"
"99","filesystems","7810","5378877","5378876","57"
"100","stack-overflow","3530","5796105","5796104","58"
"102","hardware","2616","5108397","5108396","59"
"105","hdd","22","13419617","13419616","60"
"110","ide","9260","4915532","4915531","61"
"114","arrays","302707","4969094","4969093","62"
"115","tags","9473","6575746","6575745","63"
"116","cloud","6446","4112372","4112371","64"
"117","mailto","965","10293284","10293283","65"
"118","delphi","44303","3625233","3607016","66"
"119","git","113206","3625234","3607047","67"
"121","sqlite","78115","3625235","3607650","68"
"125","compiler-construction","10595","3625236","3607487","69"
"126","x11","2690","6053748","6053747","70"
"127","gtk","7095","5125644","5125643","71"
"129","opengl","32919","4058612","4058611","72"
"131","collaboration","470","11751342","11751341","73"
"134","sorting","57800","5009631","5009630","74"
"136","security","47959","3625053","3612218","75"
"137","oop","48840","4913607","4913606","76"
"139","string","142142","4887591","4887590","77"
"142","ant","14877","3625237","3607490","78"
"143","phing","379","4886597","4886596","79"
"146","email","50698","5483666","5483665","80"
"148","generics","38281","4890360","4890359","81"
"152","lucene","11027","3625238","3607502","82"
"153","vb6","9963","3625239","3607228","83"
"154","iphone","219910","3625240","3607496","84"
"162","com","11100","4377329","4377328","85"
"169","openid","3154","4903934","4903933","86"
"171","photoshop","2112","5516368","5516367","87"
"173","data-binding","20553","5253639","5253638","88"
"176","beta","553","12471310","12471309","89"
"178","crash","11237","6967482","6967481","90"
"183","authentication","40864","5253712","5253711","91"
"186","testing","35843","4922785","4922784","92"
"189","trust","161","11291048","11291047","93"
"190","deployment","19327","5047602","5047601","94"
"194","oracle","112765","3625242","3607031","95"
"197","random","26517","6855850","6855849","96"
"198","nt","49","","","97"
"201","api","69260","4924743","4924742","98"
"205","puzzle","858","8268485","8268484","99"
"210","metacity","9","25220570","25220569","100"
"211","compiz","39","","","101"
"215","iis","32256","4890022","4890021","102"
"218","directory","15540","5840336","5840335","103"
"219","encryption","29561","5214024","5214023","104"
"220","passwords","8994","7065765","7065764","105"
"227","iteration","7448","8364364","8364363","106"
"228","peripherals","71","","","107"
"231","db2","9600","5099503","5099502","108"
"236","embedded","7624","3625244","3607299","109"
"238","oledb","3923","5146993","5146992","110"
"239","provider","691","15623639","15623638","111"
"240","legacy","673","11277949","11277948","112"
"241","gis","4365","4854756","4854755","113"
"242","mapping","7033","8328440","8328439","114"
"243","django","205174","3625245","3607538","115"
"245","format","9318","8058534","8058533","116"
"246","title-case","61","17661971","17661970","117"
"247","reflection","21391","5329327","5329326","118"
"248","algorithm","92919","3625246","3620111","119"
"250","simulation","3197","7161885","7161884","120"
"251","poker","381","5399042","5399041","121"
"253","globalization","1337","7335990","7335989","122"
"256","postgresql","103604","3625247","3607532","123"
"259","math","33084","5104883","5104882","124"
"261","ftp","12835","5094700","5094699","125"
"263","registry","6214","6564182","6564181","126"
"264","cruisecontrol.net","1381","5146958","5146957","127"
"265","msbuild","12608","3626874","3626873","128"
"267","keyboard","10484","5449445","5449444","129"
"268","colemak","10","12367861","12367860","130"
"269","qwerty","39","14718469","14718468","131"
"270","dvorak","58","8541083","8541082","132"
"271","documentation","3943","5120459","5120458","133"
"272","xslt","32921","3625248","3609260","134"
"273","sandcastle","291","5955054","5955053","135"
"276","variables","42799","5151905","5151904","136"
"277","debugging","42321","4985314","4985313","137"
"279","unicode","21400","3625249","3607542","138"
"281","connection","8312","8907048","8907047","139"
"282","irc","1066","6959209","6959208","140"
"283","social","923","12248958","12248957","141"
"284",".net-1.1","372","13154871","13154870","142"
"290","twitter","22559","4924829","4924828","143"
"291","yahoo","1012","6626298","6626297","144"
"292","cookies","28408","4926401","4926400","145"
"293","vi","1836","5310904","5310903","146"
"294","ip","7624","7743351","7743350","147"
"295","country","384","","","148"
"296","lookup","2433","15817463","15817462","149"
"299","flash","35247","3659514","3659513","150"
"305","floating-point","11582","5723344","5723343","151"
"306","precision","3122","12071700","12071699","152"
"308","directx","5221","5304735","5304734","153"
"309","3d","13911","6552230","6552229","154"
"311","heap","4738","8087152","8087151","155"
"312","purify","28","","","156"
"314","size","5945","8745322","8745321","157"
"316","ocr","4159","6514707","6514706","158"
"317","indexing","25139","5084724","5084723","159"
"318","article","391","21794781","21794780","160"
"319","chm","471","3625251","3607541","161"
"321","malloc","7022","5277059","5277058","162"
"324","subdomain","5029","5186409","5186408","163"
"325","dns","13926","5286156","5286155","164"
"328","account","1017","16594889","16594888","165"
"329","viewstate","1564","6111181","6111180","166"
"330","safari","14493","5423429","5423428","167"
"334","csla","210","5332655","5332654","168"
"335","cvs","1505","4998437","4998436","169"
"339","meta","1364","10387735","10387734","170"
"341","xss","3780","4903911","4903910","171"
"342","queue","8553","5780003","5780002","172"
"343","collections","19869","5756317","5756316","173"
"344","nant","1046","3624971","3624970","174"
"345","io","14903","5055064","5055063","175"
"346","curses","754","8674918","8674917","176"
"347","rockbox","6","14662652","14662651","177"
"348","audio","29770","6072221","6072220","178"
"350","gtd","24","5108381","5108380","179"
"351","subsonic","1207","5565591","5565590","180"
"352","nhibernate","18691","3624972","3607611","181"
"353","parallel-processing","15773","8337937","8337936","182"
"355","validation","56931","5114527","5114526","183"
"357","xampp","10256","5722600","5722599","184"
"359","permissions","13966","5488863","5488862","185"
"360","parameters","17058","6477436","6477435","186"
"361","methods","24214","6016074","6016073","187"
"363","ajax","201576","3877045","3877044","188"
"364","rest","72296","3624973","3607594","189"
"365","url","36768","5147326","5147325","190"
"366","address-bar","183","13318988","13318987","191"
"367","syntax","17471","5643521","5643520","192"
"368","binary","11502","5329456","5329455","193"
"369","macos","93325","4979532","4979531","194"
"370","vim","24314","3624974","3607606","195"
"371","emacs","16387","3629398","3629397","196"
"373","favicon","1353","5267987","5267986","197"
"375","polymorphism","8131","5689310","5689309","198"
"376","silverlight","27502","4171248","4171247","199"
"378","wpf","151265","3624975","3607561","200"
"379","error-handling","18715","5506485","5506484","201"
"382","wordpress","152867","3897620","3897619","202"
"386","ssh","22175","5953885","5953884","203"
"387","bash","114873","5094497","5094496","204"
"390","shell","71973","4958351","4958350","205"
"391","terminal","16774","5094651","5094650","206"
"392","apple-touch-icon","71","14979993","14979992","207"
"393","usb","6825","4974852","4974851","208"
"394","xfdl","9","18903095","18903094","209"
"398","podcast","216","5592409","5592408","210"
"402","statistics","10861","5419904","5419903","211"
"403","profile","1526","7837221","7837220","212"
"405","lingo","45","8220571","8220570","213"
"406","shockwave","77","7246063","7246062","214"
"407","application-integration","9","","","215"
"418","free","1975","5654936","5654935","216"
"419","planning","83","10463243","10463242","217"
"421","environment","1824","8662792","8662791","218"
"422","workspace","963","9422829","9422828","219"
"423","mouse","3855","5552080","5552079","220"
"426","processing","5207","4424429","4424428","221"
"427","anchor","4191","10524861","10524860","222"
"430","quotes","1783","15567009","15567008","223"
"432","import","19012","7933864","7933863","224"
"438","ergonomics","39","7430281","7430280","225"
"444","model-view-controller","28514","4890099","4890098","226"
"445","datacontext","1383","6075670","6075669","227"
"448","cpu","3678","5188063","5188062","228"
"450","macros","11427","5012833","5012832","229"
"451","double","6955","5435813","5435812","230"
"452","int","9094","8683108","8683107","231"
"454","project-hosting","31","","","232"
"456","version-control","15298","3933491","3933490","233"
"457","dll","22414","5123223","5123222","234"
"458","tdd","5571","3624976","3607615","235"
"459","rss","7348","4998411","4998410","236"
"460","mvp","1887","5044695","5044694","237"
"463","coldfusion","12975","3625252","3607120","238"
"469","checkbox","25792","5289719","5289718","239"
"470","asp.net-mvc","182777","3625253","3607478","240"
"474","freeware","43","10849950","10849949","241"
"477","clr","3541","5122630","5122629","242"
"485","bdd","2775","4479765","4479764","243"
"487","build-automation","1748","8364338","8364337","244"
"488","console","11021","5134981","5134980","245"
"491","datatable","17475","5829793","5829792","246"
"492","resharper","4540","3626623","3626622","247"
"493","backup","4872","5642094","5642093","248"
"494","vbscript","17441","3625254","3621561","249"
"495","powerbuilder","1184","3625255","3611740","250"
"496","textwrangler","177","10507948","10507947","251"
"503","monads","2829","5057222","5057221","252"
"506","graphics","17435","5695352","5695351","253"
"508","agile","1028","4998356","4998355","254"
"511","concurrency","17581","4774687","4774686","255"
"514","diagram","1455","5078906","5078905","256"
"516","obfuscation","2540","5187702","5187701","257"
"517","treeview","8047","5289633","5289632","258"
"518","forum","860","7965566","7965565","259"
"519","video","28971","5006599","5006598","260"
"520","streaming","6255","6189684","6189683","261"
"521","payment","2561","10453631","10453630","262"
"522","excel","201768","3625256","3613237","263"
"523","grid","9473","6186129","6186128","264"
"524","clipboard","3041","5146429","5146428","265"
"526","powershell","71375","3625257","3609160","266"
"527","cmdlets","384","5237269","5237268","267"
"529","installation","12094","8857134","8857133","268"
"531","scripting","14258","5526635","5526634","269"
"536","hosting","4475","6254365","6254364","270"
"538","erlang","8554","3625258","3607505","271"
"540","verification","1103","7305797","7305796","272"
"541","getter","1436","7532733","7532732","273"
"542","setter","1448","7481581","7481580","274"
"543","optimization","29152","5112271","5112270","275"
"545","shortcuts","446","33797871","33797870","276"
"547","xen","412","5708222","5708221","277"
"548","virtualization","2054","8339038","8339037","278"
"549","ubuntu","45677","5022379","5022378","279"
"552","mono","9509","3625259","3607237","280"
"555","formatting","10344","8801319","8801318","281"
"556","paging","2135","7983338","7983337","282"
"558","jxta","63","4953240","4953239","283"
"559","hsl","200","15094499","15094498","284"
"560","rgb","2762","5310939","5310938","285"
"562","turkish","156","6235454","6235453","286"
"564","modi","65","11629758","11629757","287"
"565","dep","86","9962563","9962562","288"
"572","tree","13402","5047496","5047495","289"
"573","nslookup","192","9849738","9849737","290"
"578","recursion","33863","3724934","3724933","291"
"579","usability","860","5789238","5789237","292"
"580","perl","63088","3625260","3607675","293"
"581","hash","20336","5126927","5126925","294"
"582","each","3497","13440597","13440596","295"
"583","boot","1258","11481983","11481982","296"
"585","procedural","165","14724704","14724703","297"
"586","maintainability","280","13575473","13575472","298"
"588","comparison","6729","5804501","5804500","299"
"596","scalar","416","10074244","10074243","300"
"598","performance","83829","5048293","5048292","301"
"600","vmware","2771","5035375","5035374","302"
"601","cron","13613","5144066","5144065","303"
"602","settings","4411","10085602","10085601","304"
"603","time","22534","5674228","5674227","305"
"604","teamcity","5479","4890005","4890004","306"
"605","mbunit","248","6449532","6449531","307"
"606","diff","3869","7447211","7447210","308"
"607",".htaccess","66392","5034641","5034640","309"
"608","mod-rewrite","30650","3744959","3744958","310"
"609","mappath","17","","","311"
"614","fogbugz","176","3898323","3898322","312"
"618","midi","1525","3767445","3767444","313"
"619","interface-design","30","","","314"
"623","complexity-theory","2994","5786559","5786558","315"
"624","big-o","4816","5110603","5110602","316"
"627","service","20345","8104635","8104634","317"
"628","reduce","1943","12756357","12756356","318"
"629","ienumerable","2999","6428616","6428615","319"
"630","ienumerator","293","13442719","13442718","320"
"631","foreach","19883","5479110","5479109","321"
"633","vpn","2202","5488897","5488896","322"
"638","explorer","990","13318478","13318477","323"
"640","maps","7522","9679981","9679980","324"
"641","ssl","39550","5124516","5124515","325"
"642","https","19887","4985338","4985337","326"
"643","iframe","28073","5107916","5107915","327"
"644","xhtml","6551","5012850","5012849","328"
"645","markup","1224","5947383","5947382","329"
"646","http-referer","494","7966603","7966602","330"
"647","orm","16145","5253532","5253531","331"
"650","rake","4201","5150783","5150782","332"
"652","clickonce","3064","5818465","5818464","333"
"653","installer","5520","7110661","7110660","334"
"655","sap","5365","5564122","5564121","335"
"656","tortoisesvn","4683","3761153","3761152","336"
"657","integration","4232","9044250","9044249","337"
"658","upload","12529","8077660","8077659","338"
"659","project-planning","229","5214946","5214945","339"
"667","ram","1696","8301034","8301033","340"
"669","sharepoint","24766","3653617","3653616","341"
"671","privileges","1175","6058383","6058382","342"
"672","stsadm","55","","","343"
"673","impersonation","1336","5760471","5760470","344"
"674","markdown","5314","5319787","5319786","345"
"677","propertygrid","901","9793246","9793245","346"
"678","prototyping","143","24069516","24069515","347"
"680","wmi","3935","5231698","5231697","348"
"681","64-bit","5628","5600773","5600772","349"
"682","xelement","804","8357843","8357842","350"
"683","innerxml","14","15636822","15636821","351"
"684","replication","3312","8887271","8887270","352"
"685","audit","908","10435517","10435516","353"
"688","session","40744","5088687","5088686","354"
"689","union","4022","6438218","6438217","355"
"691","firefox","34972","5253566","5253565","356"
"694","null","12894","5168462","5168461","357"
"696","profiler","1445","5751002","5751001","358"
"698","lamp","1919","5295381","5295380","359"
"700","port","5195","7260650","7260649","360"
"701","paradigms","258","13179115","13179114","361"
"706","smb","637","10441037","10441036","362"
"711","multilingual","2854","5402505","5402504","363"
"713","ear","1178","5783437","5783436","364"
"714","websphere","6090","5633069","5633068","365"
"716","rational-number","78","6235232","6235231","366"
"717","merge","17630","5143758","5143757","367"
"719","policy","823","23071146","23071145","368"
"722","benchmarking","2801","6605689","6605688","369"
"723","evaluation","976","19393093","19393092","370"
"724","file-io","19410","4996579","4996578","371"
"725","configuration","15047","5163171","5163170","372"
"727","webcam","2391","9213557","9213556","373"
"729","ado.net","9238","5042312","5042311","374"
"733","tfs","19921","3760798","3760797","375"
"735","messaging","2207","5408758","5408757","376"
"740","primitive","844","8021601","8021600","377"
"741","autoboxing","356","5559681","5559680","378"
"742","mobile","25176","6006809","6006808","379"
"743","sms","6875","4949738","4949737","380"
"752","wcf","49539","3624977","3607595","381"
"753","soa","1872","4987387","4987386","382"
"758","workflow","4419","5820815","5820814","383"
"759","sdk","12560","5506405","5506404","384"
"760","proxy","15777","5095179","5095178","385"
"761","gem","6325","5010171","5010170","386"
"766","dsl","1733","6852357","6852356","387"
"767","t4","1509","4830430","4830429","388"
"768","vsx","345","6127944","6127943","389"
"773","seo","7189","4044686","4044685","390"
"777","mapi","590","5708321","5708320","391"
"778","pinvoke","3500","6079938","6079937","392"
"781","intellisense","3153","5798029","5798028","393"
